Type;VSE;
0.31684818863868713;0.31966292858123779
0.95212143659591675;0.95451462268829346
-0.95530116558074951;-0.95685064792633057
0.31679156422615051;0.31925475597381592
0.31917554140090942;-0.31786468625068665
-0.31838902831077576;0.31873157620429993
-0.31811401247978210;0.31927835941314697
0.95394462347030640;-0.32032102346420288
-0.31873342394828796;-0.31808629631996155
-0.32030874490737915;-0.95580166578292847
0.95482701063156128;0.95449417829513550
-0.95467931032180786;-0.31922712922096252
-0.95635932683944702;0.31793373823165894
-0.31967404484748840;-0.31849753856658936
0.95408803224563599;0.95285254716873169
0.31807380914688110;-0.95711505413055420
0.31683918833732605;-0.95626139640808105
0.31883004307746887;-0.31969684362411499
-0.95604830980300903;0.31858795881271362
-0.95591998100280762;0.31952187418937683
0.95489627122879028;0.31757491827011108
-0.95580965280532837;0.31826451420783997
0.31886190176010132;0.95442646741867065
-0.95537710189819336;-0.31704360246658325
0.31883367896080017;-0.31893470883369446
0.95431727170944214;-0.32043519616127014
0.31938099861145020;0.95554679632186890
0.95526742935180664;0.95242595672607422
-0.95591944456100464;0.32152470946311951
0.95499485731124878;0.95450210571289063
-0.31824666261672974;-0.31907898187637329
0.31703251600265503;-0.95693606138229370
0.95556020736694336;0.95623588562011719
0.95450621843338013;0.95285588502883911
-0.31556403636932373;-0.95572066307067871
0.95359843969345093;-0.31951472163200378
0.95438057184219360;0.95498985052108765
-0.95633178949356079;-0.31976366043090820
-0.31894689798355103;0.95537525415420532
-0.95681387186050415;0.95536351203918457
0.31874856352806091;-0.95631790161132813
-0.95555090904235840;0.31954681873321533
-0.31954088807106018;-0.95444864034652710
0.95322781801223755;0.31700113415718079
0.31974357366561890;0.95236343145370483
-0.95564717054367065;-0.95568275451660156
-0.31712192296981812;0.31907117366790771
-0.31907713413238525;-0.32082349061965942
-0.95786780118942261;-0.31874471902847290
-0.95551800727844238;0.95598530769348145
-0.31763881444931030;0.95506095886230469
0.31757870316505432;0.31616070866584778
-0.31749841570854187;0.95514816045761108
-0.95652353763580322;-0.31732559204101563
0.95607525110244751;-0.95593333244323730
0.95414006710052490;0.95354825258255005
0.95622104406356812;0.31918907165527344
0.32001045346260071;-0.32113206386566162
-0.31716525554656982;0.31654426455497742
-0.95565891265869141;-0.31732758879661560
-0.95548123121261597;-0.31861451268196106
-0.31766676902770996;0.32022956013679504
0.95574361085891724;0.31749832630157471
-0.95430499315261841;0.95401364564895630
0.95661151409149170;0.95397698879241943
-0.95543104410171509;0.31853666901588440
0.95567530393600464;0.95411139726638794
0.95559883117675781;-0.95826119184494019
-0.95526474714279175;-0.95544093847274780
-0.95615345239639282;0.31756722927093506
-0.95592230558395386;-0.32006230950355530
0.31904509663581848;0.95394676923751831
0.32138723134994507;0.31651991605758667
-0.95762479305267334;-0.31784608960151672
0.31981691718101501;-0.95693951845169067
0.95385223627090454;-0.95689082145690918
0.95578330755233765;0.95355528593063354
0.95459586381912231;-0.32016623020172119
-0.95631366968154907;0.95537298917770386
-0.32096424698829651;-0.95591980218887329
0.31971898674964905;-0.95774996280670166
0.31785866618156433;-0.31896555423736572
0.32101643085479736;0.31597036123275757
-0.95590376853942871;-0.95496815443038940
0.95702469348907471;-0.31926596164703369
0.31696715950965881;-0.95619517564773560
0.32240813970565796;0.32051086425781250
0.31830888986587524;0.31899023056030273
-0.31923469901084900;-0.31976783275604248
0.31717425584793091;-0.31897523999214172
0.95607578754425049;-0.31985139846801758
0.95271843671798706;-0.31871944665908813
0.95479720830917358;-0.95588886737823486
0.95369738340377808;-0.31847500801086426
0.95544755458831787;-0.95434999465942383
0.31765899062156677;0.95311868190765381
0.95359802246093750;0.95554399490356445
-0.31679329276084900;-0.95473462343215942
0.95456582307815552;-0.95457774400711060
0.31574362516403198;0.31850811839103699
0.95413786172866821;0.31929501891136169
-0.95702910423278809;-0.31830862164497375
0.31980317831039429;-0.95484745502471924
0.95262479782104492;0.95485264062881470
0.95300728082656860;-0.95379006862640381
-0.95665985345840454;-0.95324587821960449
0.31593009829521179;0.32051292061805725
0.31555229425430298;0.31758859753608704
0.95258539915084839;0.95471745729446411
-0.95505213737487793;-0.95382505655288696
0.95357263088226318;-0.31651103496551514
0.95211851596832275;0.31816527247428894
0.31570905447006226;-0.31928563117980957
-0.31966525316238403;-0.31642568111419678
-0.31810924410820007;0.31834501028060913
-0.95788747072219849;0.31814846396446228
0.31806439161300659;0.31835466623306274
-0.95585328340530396;0.95480662584304810
0.95422816276550293;0.95387244224548340
-0.32037970423698425;0.31912574172019958
0.31613558530807495;-0.95481854677200317
-0.95550024509429932;0.95591652393341064
-0.95559060573577881;0.95336598157882690
0.31705322861671448;-0.31798061728477478
-0.95426237583160400;0.95525640249252319
-0.95650404691696167;-0.95489007234573364
0.31726121902465820;-0.31784597039222717
0.95255404710769653;-0.31975176930427551
-0.31827637553215027;0.31837171316146851
-0.31832244992256165;-0.95472675561904907
-0.95364284515380859;0.95379090309143066
-0.31924068927764893;-0.31695467233657837
0.95405793190002441;-0.95707780122756958
0.95363146066665649;0.31769880652427673
0.32029011845588684;0.31780910491943359
-0.31958761811256409;-0.31852617859840393
0.31882169842720032;0.31695270538330078
0.31786805391311646;-0.31863325834274292
0.31962913274765015;0.31930261850357056
0.95298159122467041;0.95263272523880005
-0.31776562333106995;0.31935101747512817
0.95353126525878906;0.31686082482337952
-0.95432579517364502;-0.95368933677673340
